instruction1,workerid,ExpFiller,displayID,location2,instruction3,target,response,Answer.condition,location1,location4,modal,Answer.time_in_minutes,location3,competitor,correctAns,condition,list,response_times
The |arrow |usually lands on |blue.,0,prac,1,marble_100-0_b,,4,"['AOI1', 'AOI3', 'AOI4', 'AOI4']",undefined,marble_25-75_g-b,wheel_25-75_g-b,usually,3.97465,wheel_100-0_g,3,AOI4,prac,,
The |marble |has a 25% chance of landing on |green.,0,prac,2,wheel_25-75_y-g,,3,"['AOI4', 'AOI3', 'AOI3', 'AOI3']",undefined,wheel_100-0_g,marble_100-0_g,num25,3.97465,marble_25-75_g-y,4,AOI3,prac,,
The |arrow |has a 100% chance of landing on |yellow.,0,prac,3,wheel_100-0_y,,2,"['AOI3', 'AOI1', 'AOI1', 'AOI2']",undefined,wheel_100-0_b,marble_25-75_y-b,num100,3.97465,marble_25-75_b-y,1,AOI2,prac,,
The |marble |never lands on |green.,0,prac,4,marble_25-75_b-g,,1,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",undefined,marble_100-0_b,wheel_25-75_b-g,never,3.97465,wheel_100-0_g,3,AOI1,prac,,
,0,Filler,32,wheel_25-75_g-b,The |marble |has a 100% chance of landing on |blue.,3,"['AOI1', 'AOI1', 'AOI3', 'AOI3']",undefined,wheel_25-75_b-g,marble_100-0_g,num100,3.97465,marble_100-0_b,4,AOI3,late,1,"[2721, 3936, 5827, 6986]"
,0,Exp,5,marble_25-75_y-b,The |marble |never lands on |blue.,1,"['AOI3', 'AOI3', 'AOI1', 'AOI1']",undefined,marble_100-0_y,wheel_25-75_y-b,never,3.97465,wheel_100-0_y,2,AOI1,prag,1,"[661, 1798, 4239, 4643]"
,0,Filler,26,marble_100-0_g,The |marble |has a 0% chance of landing on |green.,1,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",undefined,marble_100-0_b,wheel_25-75_g-b,num0,3.97465,wheel_25-75_b-g,2,AOI1,late,1,"[670, 2429, 3791, 5613]"
,0,Filler,30,wheel_100-0_y,The |marble |has a 75% chance of landing on |yellow.,4,"['AOI1', 'AOI1', 'AOI3', 'AOI4']",undefined,wheel_100-0_b,marble_25-75_b-y,num75,3.97465,marble_25-75_y-b,3,AOI4,late,1,"[550, 1023, 2710, 4049]"
,0,Filler,31,wheel_100-0_y,The |arrow |has a 100% chance of landing on |yellow.,2,"['AOI4', 'AOI1', 'AOI1', 'AOI2']",undefined,wheel_100-0_b,marble_25-75_g-b,num100,3.97465,marble_25-75_y-b,1,AOI2,late,1,"[483, 1900, 3351, 4409]"
,0,Exp,7,marble_25-75_b-g,The |arrow |never lands on |green.,3,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",undefined,marble_100-0_b,wheel_25-75_b-g,never,3.97465,wheel_100-0_b,4,AOI3,prag,1,"[854, 2339, 3048, 4825]"
,0,Filler,5,wheel_100-0_y,The |arrow |has a 0% chance of landing on |blue.,2,"['AOI3', 'AOI3', 'AOI1', 'AOI2']",undefined,wheel_25-75_y-b,marble_25-75_y-b,num0,3.97465,marble_100-0_y,1,AOI2,prag,1,"[585, 1518, 4049, 5749]"
,0,Exp,10,marble_25-75_g-y,The |arrow |usually lands on |green.,3,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",undefined,marble_100-0_g,wheel_100-0_y,usually,3.97465,wheel_25-75_y-g,4,AOI3,prag,1,"[1135, 2721, 4476, 5590]"
,0,Filler,8,marble_100-0_b,The |arrow |has a 25% chance of landing on |blue.,4,"['AOI1', 'AOI3', 'AOI4', 'AOI4']",undefined,marble_25-75_b-y,wheel_25-75_b-y,num25,3.97465,wheel_100-0_b,3,AOI4,prag,1,"[1001, 2509, 5423, 6446]"
,0,Exp,6,wheel_25-75_y-g,The |marble |always lands on |yellow.,4,"['AOI1', 'AOI3', 'AOI4', 'AOI4']",undefined,wheel_100-0_y,marble_100-0_y,always,3.97465,marble_25-75_y-g,3,AOI4,prag,1,"[1484, 3317, 4769, 5860]"
,0,Filler,12,wheel_25-75_b-y,The |marble |has a 25% chance of landing on |yellow.,3,"['AOI3', 'AOI4', 'AOI3', 'AOI3']",undefined,wheel_100-0_b,marble_100-0_y,num25,3.97465,marble_25-75_y-b,4,AOI3,prag,1,"[1090, 4026, 9787, 11429]"
,0,Filler,29,wheel_25-75_g-y,The |arrow |has a 75% chance of landing on |green.,1,"['AOI3', 'AOI1', 'AOI4', 'AOI1']",undefined,wheel_25-75_y-g,marble_100-0_g,num75,3.97465,marble_100-0_y,2,AOI1,late,1,"[684, 2767, 10721, 12745]"
,0,Exp,10,marble_25-75_g-y,The |marble |rarely lands on |green.,2,"['AOI1', 'AOI1', 'AOI1', 'AOI2']",undefined,marble_100-0_g,wheel_25-75_y-g,rarely,3.97465,wheel_100-0_y,1,AOI2,prag,1,"[788, 1204, 2250, 4082]"
,0,Filler,2,marble_25-75_b-g,The |marble |has a 0% chance of landing on |green.,1,"['AOI2', 'AOI2', 'AOI1', 'AOI1']",undefined,marble_100-0_b,wheel_25-75_g-b,num0,3.97465,wheel_100-0_g,2,AOI1,prag,1,"[609, 1093, 2725, 5413]"
,0,Exp,7,wheel_25-75_b-g,The |marble |rarely lands on |blue.,3,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",undefined,wheel_100-0_b,marble_100-0_b,rarely,3.97465,marble_25-75_b-g,4,AOI3,prag,1,"[649, 2070, 2857, 3619]"
,0,Filler,6,wheel_25-75_y-g,The |marble |has a 100% chance of landing on |yellow.,3,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",undefined,wheel_100-0_y,marble_25-75_y-g,num100,3.97465,marble_100-0_y,4,AOI3,prag,1,"[599, 969, 3625, 4660]"
,0,Filler,11,marble_25-75_g-y,The |marble |has a 75% chance of landing on |yellow.,2,"['AOI3', 'AOI3', 'AOI2', 'AOI2']",undefined,marble_100-0_g,wheel_100-0_g,num75,3.97465,wheel_25-75_g-y,1,AOI2,prag,1,"[517, 933, 4668, 5715]"
,0,Exp,8,marble_25-75_b-y,The |marble |usually lands on |yellow.,2,"['AOI1', 'AOI1', 'AOI2', 'AOI2']",undefined,marble_100-0_b,wheel_25-75_b-y,usually,3.97465,wheel_100-0_b,1,AOI2,prag,1,"[806, 2530, 5208, 5691]"
,0,Exp,3,wheel_25-75_g-b,The |arrow |always lands on |green.,1,"['AOI2', 'AOI2', 'AOI1', 'AOI1']",undefined,wheel_100-0_g,marble_25-75_g-b,always,3.97465,marble_100-0_g,2,AOI1,prag,1,"[551, 944, 2170, 3701]"
,0,Filler,9,wheel_100-0_b,The |arrow |has a 75% chance of landing on |green.,1,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",undefined,wheel_25-75_b-g,marble_100-0_g,num75,3.97465,marble_25-75_g-b,2,AOI1,prag,1,"[550, 1011, 2451, 3464]"
,0,Filler,2,marble_25-75_b-g,The |arrow |has a 100% chance of landing on |green.,4,"['AOI1', 'AOI1', 'AOI1', 'AOI4']",undefined,marble_100-0_b,wheel_100-0_g,num100,3.97465,wheel_25-75_g-b,3,AOI4,prag,1,"[629, 1111, 3419, 5399]"
,0,Exp,12,marble_100-0_y,The |arrow |always lands on |blue.,3,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",undefined,marble_25-75_y-b,wheel_25-75_b-y,always,3.97465,wheel_100-0_b,4,AOI3,prag,1,"[1473, 2801, 7815, 8898]"
,0,Exp,3,wheel_100-0_g,The |arrow |usually lands on |blue.,1,"['AOI3', 'AOI3', 'AOI1', 'AOI1']",undefined,wheel_25-75_g-b,marble_100-0_g,usually,3.97465,marble_25-75_g-b,2,AOI1,prag,1,"[583, 1045, 5342, 6625]"
,0,Filler,27,marble_100-0_b,The |arrow |has a 25% chance of landing on |blue.,4,"['AOI1', 'AOI1', 'AOI3', 'AOI4']",undefined,marble_100-0_g,wheel_25-75_b-g,num25,3.97465,wheel_25-75_g-b,3,AOI4,late,1,"[505, 910, 2777, 4442]"
,0,Exp,9,wheel_100-0_b,The |marble |usually lands on |blue.,4,"['AOI4', 'AOI3', 'AOI3', 'AOI4']",undefined,wheel_25-75_b-g,marble_25-75_g-b,usually,3.97465,marble_100-0_g,3,AOI4,prag,1,"[641, 2361, 3431, 6165]"
,0,Filler,25,marble_25-75_y-g,The |arrow |has a 0% chance of landing on |yellow.,3,"['AOI4', 'AOI3', 'AOI3', 'AOI4']",undefined,marble_25-75_g-y,wheel_100-0_y,num0,3.97465,wheel_100-0_g,4,AOI3,late,1,"[472, 1529, 3575, 4454]"
,0,Exp,1,marble_100-0_b,The |marble |never lands on |yellow.,2,"['AOI4', 'AOI4', 'AOI4', 'AOI2']",undefined,marble_25-75_b-y,wheel_25-75_y-b,never,3.97465,wheel_100-0_y,1,AOI2,prag,1,"[742, 1214, 1855, 5354]"
,0,Filler,28,marble_25-75_g-y,The |marble |has a 25% chance of landing on |green.,2,"['AOI2', 'AOI2', 'AOI2', 'AOI2']",undefined,marble_25-75_y-g,wheel_100-0_y,num25,3.97465,wheel_100-0_g,1,AOI2,late,1,"[787, 2014, 6198, 7043]"
,0,Exp,4,marble_25-75_y-g,The |arrow |never lands on |yellow.,4,"['AOI2', 'AOI3', 'AOI3', 'AOI4']",undefined,marble_100-0_y,wheel_100-0_g,never,3.97465,wheel_25-75_g-y,3,AOI4,prag,1,"[697, 2271, 3385, 7401]"
,0,Exp,11,marble_25-75_g-y,The |arrow |rarely lands on |green.,4,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",undefined,marble_100-0_g,wheel_25-75_g-y,rarely,3.97465,wheel_100-0_g,3,AOI4,prag,1,"[990, 2272, 3329, 8413]"
,0,Exp,1,wheel_100-0_y,The |arrow |rarely lands on |yellow.,1,"['AOI1', 'AOI3', 'AOI1', 'AOI1']",undefined,wheel_25-75_y-b,marble_25-75_b-y,rarely,3.97465,marble_100-0_b,2,AOI1,prag,1,"[1092, 1938, 5773, 8844]"
,0,Exp,4,marble_100-0_y,The |marble |always lands on |yellow.,2,"['AOI1', 'AOI1', 'AOI1', 'AOI2']",undefined,marble_25-75_y-g,wheel_25-75_g-y,always,3.97465,wheel_100-0_g,1,AOI2,prag,1,"[573, 1562, 3576, 8515]"
