modal,Answer.condition,response_times,instruction3,displayID,instruction1,location2,target,location4,ExpFiller,response,condition,Answer.time_in_minutes,competitor,list,location3,location1,correctAns,workerid
usually,undefined,,,1,The |arrow |usually lands on |blue.,marble_100-0_b,4,wheel_25-75_g-b,prac,"['AOI3', 'AOI2', 'AOI1', 'AOI3']",prac,4.178416666666666,3,,wheel_100-0_g,marble_25-75_g-b,AOI4,0
num25,undefined,,,2,The |marble |has a 25% chance of landing on |green.,wheel_25-75_y-g,3,marble_100-0_g,prac,"['AOI4', 'AOI2', 'AOI1', 'AOI3']",prac,4.178416666666666,4,,marble_25-75_g-y,wheel_100-0_g,AOI3,0
num100,undefined,,,3,The |arrow |has a 100% chance of landing on |yellow.,wheel_100-0_y,2,marble_25-75_y-b,prac,"['AOI4', 'AOI2', 'AOI1', 'AOI2']",prac,4.178416666666666,1,,marble_25-75_b-y,wheel_100-0_b,AOI2,0
never,undefined,,,4,The |marble |never lands on |green.,marble_25-75_b-g,1,wheel_25-75_b-g,prac,"['AOI1', 'AOI2', 'AOI3', 'AOI4']",prac,4.178416666666666,3,,wheel_100-0_g,marble_100-0_b,AOI1,0
num0,undefined,"[1167, 2587, 3973, 4363]",The |marble |has a 0% chance of landing on |green.,2,,marble_25-75_b-g,1,wheel_25-75_g-b,Filler,"['AOI3', 'AOI4', 'AOI2', 'AOI1']",prag,4.178416666666666,2,1,wheel_100-0_g,marble_100-0_b,AOI1,0
rarely,undefined,"[561, 1389, 2350, 2707]",The |marble |rarely lands on |blue.,7,,wheel_25-75_b-g,3,marble_100-0_b,Exp,"['AOI3', 'AOI4', 'AOI2', 'AOI1']",prag,4.178416666666666,4,1,marble_25-75_b-g,wheel_100-0_b,AOI3,0
num100,undefined,"[497, 1750, 2044, 2352]",The |arrow |has a 100% chance of landing on |green.,2,,marble_25-75_b-g,4,wheel_100-0_g,Filler,"['AOI2', 'AOI2', 'AOI1', 'AOI2']",prag,4.178416666666666,3,1,wheel_25-75_g-b,marble_100-0_b,AOI4,0
rarely,undefined,"[607, 3341, 3596, 3848]",The |arrow |rarely lands on |green.,11,,marble_25-75_g-y,4,wheel_25-75_g-y,Exp,"['AOI2', 'AOI4', 'AOI3', 'AOI4']",prag,4.178416666666666,3,1,wheel_100-0_g,marble_100-0_g,AOI4,0
usually,undefined,"[274, 529, 771, 1072]",The |marble |usually lands on |yellow.,8,,marble_25-75_b-y,2,wheel_25-75_b-y,Exp,"['AOI3', 'AOI4', 'AOI3', 'AOI4']",prag,4.178416666666666,1,1,wheel_100-0_b,marble_100-0_b,AOI2,0
never,undefined,"[241, 531, 774, 5057]",The |marble |never lands on |yellow.,1,,marble_100-0_b,2,wheel_25-75_y-b,Exp,"['AOI3', 'AOI4', 'AOI3', 'AOI1']",prag,4.178416666666666,1,1,wheel_100-0_y,marble_25-75_b-y,AOI2,0
num75,undefined,"[476, 1063, 1731, 2446]",The |marble |has a 75% chance of landing on |yellow.,11,,marble_25-75_g-y,2,wheel_100-0_g,Filler,"['AOI2', 'AOI1', 'AOI2', 'AOI4']",prag,4.178416666666666,1,1,wheel_25-75_g-y,marble_100-0_g,AOI2,0
num75,undefined,"[332, 809, 2411, 2804]",The |arrow |has a 75% chance of landing on |green.,9,,wheel_100-0_b,1,marble_100-0_g,Filler,"['AOI3', 'AOI1', 'AOI4', 'AOI3']",prag,4.178416666666666,2,1,marble_25-75_g-b,wheel_25-75_b-g,AOI1,0
num0,undefined,"[525, 974, 1396, 1694]",The |marble |has a 0% chance of landing on |green.,26,,marble_100-0_g,1,wheel_25-75_g-b,Filler,"['AOI1', 'AOI2', 'AOI4', 'AOI3']",late,4.178416666666666,2,1,wheel_25-75_b-g,marble_100-0_b,AOI1,0
num100,undefined,"[310, 1703, 2205, 4160]",The |marble |has a 100% chance of landing on |blue.,32,,wheel_25-75_g-b,3,marble_100-0_g,Filler,"['AOI4', 'AOI3', 'AOI4', 'AOI2']",late,4.178416666666666,4,1,marble_100-0_b,wheel_25-75_b-g,AOI3,0
rarely,undefined,"[897, 1415, 2216, 2976]",The |marble |rarely lands on |green.,10,,marble_25-75_g-y,2,wheel_25-75_y-g,Exp,"['AOI3', 'AOI4', 'AOI2', 'AOI3']",prag,4.178416666666666,1,1,wheel_100-0_y,marble_100-0_g,AOI2,0
always,undefined,"[792, 1111, 1894, 2289]",The |arrow |always lands on |green.,3,,wheel_25-75_g-b,1,marble_25-75_g-b,Exp,"['AOI4', 'AOI3', 'AOI2', 'AOI1']",prag,4.178416666666666,2,1,marble_100-0_g,wheel_100-0_g,AOI1,0
num25,undefined,"[380, 755, 1090, 1516]",The |arrow |has a 25% chance of landing on |blue.,8,,marble_100-0_b,4,wheel_25-75_b-y,Filler,"['AOI2', 'AOI1', 'AOI2', 'AOI4']",prag,4.178416666666666,3,1,wheel_100-0_b,marble_25-75_b-y,AOI4,0
num0,undefined,"[365, 898, 1287, 1570]",The |arrow |has a 0% chance of landing on |blue.,5,,wheel_100-0_y,2,marble_25-75_y-b,Filler,"['AOI3', 'AOI1', 'AOI2', 'AOI1']",prag,4.178416666666666,1,1,marble_100-0_y,wheel_25-75_y-b,AOI2,0
num25,undefined,"[912, 1442, 1722, 2004]",The |marble |has a 25% chance of landing on |yellow.,12,,wheel_25-75_b-y,3,marble_100-0_y,Filler,"['AOI2', 'AOI4', 'AOI3', 'AOI4']",prag,4.178416666666666,4,1,marble_25-75_y-b,wheel_100-0_b,AOI3,0
never,undefined,"[296, 39358, 39712, 40313]",The |arrow |never lands on |yellow.,4,,marble_25-75_y-g,4,wheel_100-0_g,Exp,"['AOI3', 'AOI3', 'AOI4', 'AOI2']",prag,4.178416666666666,3,1,wheel_25-75_g-y,marble_100-0_y,AOI4,0
num75,undefined,"[628, 1571, 1867, 2354]",The |arrow |has a 75% chance of landing on |green.,29,,wheel_25-75_g-y,1,marble_100-0_g,Filler,"['AOI2', 'AOI1', 'AOI2', 'AOI4']",late,4.178416666666666,2,1,marble_100-0_y,wheel_25-75_y-g,AOI1,0
num100,undefined,"[283, 579, 1191, 1461]",The |arrow |has a 100% chance of landing on |yellow.,31,,wheel_100-0_y,2,marble_25-75_g-b,Filler,"['AOI3', 'AOI4', 'AOI2', 'AOI1']",late,4.178416666666666,1,1,marble_25-75_y-b,wheel_100-0_b,AOI2,0
never,undefined,"[340, 641, 1274, 1880]",The |arrow |never lands on |green.,7,,marble_25-75_b-g,3,wheel_25-75_b-g,Exp,"['AOI2', 'AOI1', 'AOI1', 'AOI1']",prag,4.178416666666666,4,1,wheel_100-0_b,marble_100-0_b,AOI3,0
num25,undefined,"[375, 663, 995, 2009]",The |marble |has a 25% chance of landing on |green.,28,,marble_25-75_g-y,2,wheel_100-0_y,Filler,"['AOI2', 'AOI1', 'AOI2', 'AOI3']",late,4.178416666666666,1,1,wheel_100-0_g,marble_25-75_y-g,AOI2,0
always,undefined,"[347, 1346, 1796, 2492]",The |marble |always lands on |yellow.,6,,wheel_25-75_y-g,4,marble_100-0_y,Exp,"['AOI4', 'AOI1', 'AOI2', 'AOI3']",prag,4.178416666666666,3,1,marble_25-75_y-g,wheel_100-0_y,AOI4,0
rarely,undefined,"[408, 784, 1225, 2236]",The |arrow |rarely lands on |yellow.,1,,wheel_100-0_y,1,marble_25-75_b-y,Exp,"['AOI4', 'AOI3', 'AOI4', 'AOI3']",prag,4.178416666666666,2,1,marble_100-0_b,wheel_25-75_y-b,AOI1,0
num100,undefined,"[493, 913, 1313, 1739]",The |marble |has a 100% chance of landing on |yellow.,6,,wheel_25-75_y-g,3,marble_25-75_y-g,Filler,"['AOI1', 'AOI2', 'AOI1', 'AOI2']",prag,4.178416666666666,4,1,marble_100-0_y,wheel_100-0_y,AOI3,0
usually,undefined,"[333, 676, 1127, 1457]",The |marble |usually lands on |blue.,9,,wheel_100-0_b,4,marble_25-75_g-b,Exp,"['AOI1', 'AOI2', 'AOI4', 'AOI3']",prag,4.178416666666666,3,1,marble_100-0_g,wheel_25-75_b-g,AOI4,0
num0,undefined,"[438, 793, 1290, 2216]",The |arrow |has a 0% chance of landing on |yellow.,25,,marble_25-75_y-g,3,wheel_100-0_y,Filler,"['AOI1', 'AOI2', 'AOI4', 'AOI1']",late,4.178416666666666,4,1,wheel_100-0_g,marble_25-75_g-y,AOI3,0
usually,undefined,"[417, 1962, 2880, 3419]",The |arrow |usually lands on |green.,10,,marble_25-75_g-y,3,wheel_100-0_y,Exp,"['AOI2', 'AOI1', 'AOI4', 'AOI3']",prag,4.178416666666666,4,1,wheel_25-75_y-g,marble_100-0_g,AOI3,0
num75,undefined,"[399, 771, 1122, 1949]",The |marble |has a 75% chance of landing on |yellow.,30,,wheel_100-0_y,4,marble_25-75_b-y,Filler,"['AOI4', 'AOI3', 'AOI4', 'AOI1']",late,4.178416666666666,3,1,marble_25-75_y-b,wheel_100-0_b,AOI4,0
usually,undefined,"[1270, 1884, 2189, 2535]",The |arrow |usually lands on |blue.,3,,wheel_100-0_g,1,marble_100-0_g,Exp,"['AOI3', 'AOI3', 'AOI4', 'AOI3']",prag,4.178416666666666,2,1,marble_25-75_g-b,wheel_25-75_g-b,AOI1,0
always,undefined,"[485, 1583, 1883, 2911]",The |arrow |always lands on |blue.,12,,marble_100-0_y,3,wheel_25-75_b-y,Exp,"['AOI4', 'AOI3', 'AOI4', 'AOI1']",prag,4.178416666666666,4,1,wheel_100-0_b,marble_25-75_y-b,AOI3,0
num25,undefined,"[332, 619, 1724, 2266]",The |arrow |has a 25% chance of landing on |blue.,27,,marble_100-0_b,4,wheel_25-75_b-g,Filler,"['AOI2', 'AOI1', 'AOI1', 'AOI1']",late,4.178416666666666,3,1,wheel_25-75_g-b,marble_100-0_g,AOI4,0
never,undefined,"[510, 813, 1420, 1671]",The |marble |never lands on |blue.,5,,marble_25-75_y-b,1,wheel_25-75_y-b,Exp,"['AOI3', 'AOI4', 'AOI4', 'AOI3']",prag,4.178416666666666,2,1,wheel_100-0_y,marble_100-0_y,AOI1,0
always,undefined,"[597, 1681, 2085, 4295]",The |marble |always lands on |yellow.,4,,marble_100-0_y,2,wheel_25-75_g-y,Exp,"['AOI3', 'AOI4', 'AOI3', 'AOI1']",prag,4.178416666666666,1,1,wheel_100-0_g,marble_25-75_y-g,AOI2,0
usually,undefined,,,1,The |arrow |usually lands on |blue.,marble_100-0_b,4,wheel_25-75_g-b,prac,"['AOI3', 'AOI4', 'AOI4', 'AOI4']",prac,27.231916666666667,3,,wheel_100-0_g,marble_25-75_g-b,AOI4,1
num25,undefined,,,2,The |marble |has a 25% chance of landing on |green.,wheel_25-75_y-g,3,marble_100-0_g,prac,"['AOI4', 'AOI1', 'AOI3', 'AOI4']",prac,27.231916666666667,4,,marble_25-75_g-y,wheel_100-0_g,AOI3,1
num100,undefined,,,3,The |arrow |has a 100% chance of landing on |yellow.,wheel_100-0_y,2,marble_25-75_y-b,prac,"['AOI2', 'AOI1', 'AOI1', 'AOI1']",prac,27.231916666666667,1,,marble_25-75_b-y,wheel_100-0_b,AOI2,1
never,undefined,,,4,The |marble |never lands on |green.,marble_25-75_b-g,1,wheel_25-75_b-g,prac,"['AOI3', 'AOI3', 'AOI4', 'AOI4']",prac,27.231916666666667,3,,wheel_100-0_g,marble_100-0_b,AOI1,1
rarely,undefined,"[1285404, 1285620, 1286959, 1287166]",The |marble |rarely lands on |blue.,7,,wheel_25-75_b-g,3,marble_100-0_b,Exp,"['AOI1', 'AOI1', 'AOI3', 'AOI3']",prag,27.231916666666667,4,1,marble_25-75_b-g,wheel_100-0_b,AOI3,1
always,undefined,"[181, 4076, 4319, 6542]",The |marble |always lands on |yellow.,4,,marble_100-0_y,2,wheel_25-75_g-y,Exp,"['AOI3', 'AOI4', 'AOI4', 'AOI1']",prag,27.231916666666667,1,1,wheel_100-0_g,marble_25-75_y-g,AOI2,1
num0,undefined,"[221, 1661, 1839, 3645]",The |arrow |has a 0% chance of landing on |blue.,5,,wheel_100-0_y,2,marble_25-75_y-b,Filler,"['AOI1', 'AOI3', 'AOI3', 'AOI4']",prag,27.231916666666667,1,1,marble_100-0_y,wheel_25-75_y-b,AOI2,1
num75,undefined,"[471, 1049, 1259, 1440]",The |arrow |has a 75% chance of landing on |green.,29,,wheel_25-75_g-y,1,marble_100-0_g,Filler,"['AOI4', 'AOI4', 'AOI4', 'AOI4']",late,27.231916666666667,2,1,marble_100-0_y,wheel_25-75_y-g,AOI1,1
num100,undefined,"[1388, 2184, 2384, 2748]",The |arrow |has a 100% chance of landing on |green.,2,,marble_25-75_b-g,4,wheel_100-0_g,Filler,"['AOI4', 'AOI4', 'AOI4', 'AOI4']",prag,27.231916666666667,3,1,wheel_25-75_g-b,marble_100-0_b,AOI4,1
rarely,undefined,"[205, 539, 730, 1547]",The |arrow |rarely lands on |yellow.,1,,wheel_100-0_y,1,marble_25-75_b-y,Exp,"['AOI4', 'AOI4', 'AOI4', 'AOI2']",prag,27.231916666666667,2,1,marble_100-0_b,wheel_25-75_y-b,AOI1,1
never,undefined,"[179, 459, 780, 1097]",The |marble |never lands on |blue.,5,,marble_25-75_y-b,1,wheel_25-75_y-b,Exp,"['AOI2', 'AOI2', 'AOI2', 'AOI2']",prag,27.231916666666667,2,1,wheel_100-0_y,marble_100-0_y,AOI1,1
num100,undefined,"[1938, 2170, 2957, 3230]",The |marble |has a 100% chance of landing on |yellow.,6,,wheel_25-75_y-g,3,marble_25-75_y-g,Filler,"['AOI3', 'AOI3', 'AOI1', 'AOI1']",prag,27.231916666666667,4,1,marble_100-0_y,wheel_100-0_y,AOI3,1
num100,undefined,"[277, 541, 863, 1146]",The |marble |has a 100% chance of landing on |blue.,32,,wheel_25-75_g-b,3,marble_100-0_g,Filler,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",late,27.231916666666667,4,1,marble_100-0_b,wheel_25-75_b-g,AOI3,1
num100,undefined,"[219, 427, 825, 1010]",The |arrow |has a 100% chance of landing on |yellow.,31,,wheel_100-0_y,2,marble_25-75_g-b,Filler,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",late,27.231916666666667,1,1,marble_25-75_y-b,wheel_100-0_b,AOI2,1
usually,undefined,"[243, 1233, 1437, 1775]",The |marble |usually lands on |blue.,9,,wheel_100-0_b,4,marble_25-75_g-b,Exp,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,3,1,marble_100-0_g,wheel_25-75_b-g,AOI4,1
num25,undefined,"[197, 388, 587, 958]",The |arrow |has a 25% chance of landing on |blue.,27,,marble_100-0_b,4,wheel_25-75_b-g,Filler,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",late,27.231916666666667,3,1,wheel_25-75_g-b,marble_100-0_g,AOI4,1
never,undefined,"[188, 589, 809, 1380]",The |arrow |never lands on |green.,7,,marble_25-75_b-g,3,wheel_25-75_b-g,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,4,1,wheel_100-0_b,marble_100-0_b,AOI3,1
num25,undefined,"[538, 743, 942, 1161]",The |marble |has a 25% chance of landing on |green.,28,,marble_25-75_g-y,2,wheel_100-0_y,Filler,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",late,27.231916666666667,1,1,wheel_100-0_g,marble_25-75_y-g,AOI2,1
rarely,undefined,"[187, 474, 718, 909]",The |arrow |rarely lands on |green.,11,,marble_25-75_g-y,4,wheel_25-75_g-y,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,3,1,wheel_100-0_g,marble_100-0_g,AOI4,1
usually,undefined,"[221, 694, 959, 1160]",The |arrow |usually lands on |green.,10,,marble_25-75_g-y,3,wheel_100-0_y,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,4,1,wheel_25-75_y-g,marble_100-0_g,AOI3,1
usually,undefined,"[198, 378, 548, 725]",The |marble |usually lands on |yellow.,8,,marble_25-75_b-y,2,wheel_25-75_b-y,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,1,1,wheel_100-0_b,marble_100-0_b,AOI2,1
num25,undefined,"[209, 396, 586, 744]",The |arrow |has a 25% chance of landing on |blue.,8,,marble_100-0_b,4,wheel_25-75_b-y,Filler,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,3,1,wheel_100-0_b,marble_25-75_b-y,AOI4,1
num75,undefined,"[182, 363, 546, 859]",The |arrow |has a 75% chance of landing on |green.,9,,wheel_100-0_b,1,marble_100-0_g,Filler,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,2,1,marble_25-75_g-b,wheel_25-75_b-g,AOI1,1
num75,undefined,"[190, 365, 536, 710]",The |marble |has a 75% chance of landing on |yellow.,30,,wheel_100-0_y,4,marble_25-75_b-y,Filler,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",late,27.231916666666667,3,1,marble_25-75_y-b,wheel_100-0_b,AOI4,1
num75,undefined,"[181, 344, 511, 679]",The |marble |has a 75% chance of landing on |yellow.,11,,marble_25-75_g-y,2,wheel_100-0_g,Filler,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,1,1,wheel_25-75_g-y,marble_100-0_g,AOI2,1
always,undefined,"[216, 402, 564, 722]",The |marble |always lands on |yellow.,6,,wheel_25-75_y-g,4,marble_100-0_y,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,3,1,marble_25-75_y-g,wheel_100-0_y,AOI4,1
rarely,undefined,"[170, 330, 488, 676]",The |marble |rarely lands on |green.,10,,marble_25-75_g-y,2,wheel_25-75_y-g,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,1,1,wheel_100-0_y,marble_100-0_g,AOI2,1
never,undefined,"[165, 353, 539, 722]",The |arrow |never lands on |yellow.,4,,marble_25-75_y-g,4,wheel_100-0_g,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,3,1,wheel_25-75_g-y,marble_100-0_y,AOI4,1
num0,undefined,"[177, 380, 561, 756]",The |marble |has a 0% chance of landing on |green.,2,,marble_25-75_b-g,1,wheel_25-75_g-b,Filler,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,2,1,wheel_100-0_g,marble_100-0_b,AOI1,1
always,undefined,"[205, 370, 550, 726]",The |arrow |always lands on |green.,3,,wheel_25-75_g-b,1,marble_25-75_g-b,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,2,1,marble_100-0_g,wheel_100-0_g,AOI1,1
num25,undefined,"[192, 366, 524, 729]",The |marble |has a 25% chance of landing on |yellow.,12,,wheel_25-75_b-y,3,marble_100-0_y,Filler,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,4,1,marble_25-75_y-b,wheel_100-0_b,AOI3,1
num0,undefined,"[181, 369, 693, 891]",The |arrow |has a 0% chance of landing on |yellow.,25,,marble_25-75_y-g,3,wheel_100-0_y,Filler,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",late,27.231916666666667,4,1,wheel_100-0_g,marble_25-75_g-y,AOI3,1
never,undefined,"[153, 354, 553, 753]",The |marble |never lands on |yellow.,1,,marble_100-0_b,2,wheel_25-75_y-b,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,1,1,wheel_100-0_y,marble_25-75_b-y,AOI2,1
always,undefined,"[186, 386, 577, 753]",The |arrow |always lands on |blue.,12,,marble_100-0_y,3,wheel_25-75_b-y,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,4,1,wheel_100-0_b,marble_25-75_y-b,AOI3,1
usually,undefined,"[191, 379, 572, 745]",The |arrow |usually lands on |blue.,3,,wheel_100-0_g,1,marble_100-0_g,Exp,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",prag,27.231916666666667,2,1,marble_25-75_g-b,wheel_25-75_g-b,AOI1,1
num0,undefined,"[138, 328, 493, 696]",The |marble |has a 0% chance of landing on |green.,26,,marble_100-0_g,1,wheel_25-75_g-b,Filler,"['AOI3', 'AOI3', 'AOI3', 'AOI3']",late,27.231916666666667,2,1,wheel_25-75_b-g,marble_100-0_b,AOI1,1
usually,undefined,,,1,The |arrow |usually lands on |blue.,marble_100-0_b,4,wheel_25-75_g-b,prac,"['AOI4', 'AOI2', 'AOI3', 'AOI3']",prac,2.6679166666666667,3,,wheel_100-0_g,marble_25-75_g-b,AOI4,2
num25,undefined,,,2,The |marble |has a 25% chance of landing on |green.,wheel_25-75_y-g,3,marble_100-0_g,prac,"['AOI3', 'AOI4', 'AOI4', 'AOI4']",prac,2.6679166666666667,4,,marble_25-75_g-y,wheel_100-0_g,AOI3,2
num100,undefined,,,3,The |arrow |has a 100% chance of landing on |yellow.,wheel_100-0_y,2,marble_25-75_y-b,prac,"['AOI3', 'AOI3', 'AOI2', 'AOI2']",prac,2.6679166666666667,1,,marble_25-75_b-y,wheel_100-0_b,AOI2,2
never,undefined,,,4,The |marble |never lands on |green.,marble_25-75_b-g,1,wheel_25-75_b-g,prac,"['AOI2', 'AOI2', 'AOI2', 'AOI4']",prac,2.6679166666666667,3,,wheel_100-0_g,marble_100-0_b,AOI1,2
never,undefined,"[3856, 4056, 5205, 5446]",The |arrow |never lands on |green.,7,,marble_25-75_b-g,3,wheel_25-75_b-g,Exp,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",prag,2.6679166666666667,4,1,wheel_100-0_b,marble_100-0_b,AOI3,2
num0,undefined,"[931, 1149, 1329, 2008]",The |arrow |has a 0% chance of landing on |yellow.,25,,marble_25-75_y-g,3,wheel_100-0_y,Filler,"['AOI3', 'AOI3', 'AOI3', 'AOI4']",late,2.6679166666666667,4,1,wheel_100-0_g,marble_25-75_g-y,AOI3,2
num25,undefined,"[229, 449, 1536, 2089]",The |arrow |has a 25% chance of landing on |blue.,8,,marble_100-0_b,4,wheel_25-75_b-y,Filler,"['AOI4', 'AOI4', 'AOI2', 'AOI1']",prag,2.6679166666666667,3,1,wheel_100-0_b,marble_25-75_b-y,AOI4,2
never,undefined,"[215, 439, 1207, 1404]",The |marble |never lands on |blue.,5,,marble_25-75_y-b,1,wheel_25-75_y-b,Exp,"['AOI1', 'AOI1', 'AOI3', 'AOI3']",prag,2.6679166666666667,2,1,wheel_100-0_y,marble_100-0_y,AOI1,2
num25,undefined,"[204, 747, 959, 2504]",The |marble |has a 25% chance of landing on |yellow.,12,,wheel_25-75_b-y,3,marble_100-0_y,Filler,"['AOI3', 'AOI4', 'AOI4', 'AOI2']",prag,2.6679166666666667,4,1,marble_25-75_y-b,wheel_100-0_b,AOI3,2
num100,undefined,"[219, 409, 949, 1202]",The |arrow |has a 100% chance of landing on |green.,2,,marble_25-75_b-g,4,wheel_100-0_g,Filler,"['AOI2', 'AOI2', 'AOI1', 'AOI1']",prag,2.6679166666666667,3,1,wheel_25-75_g-b,marble_100-0_b,AOI4,2
num75,undefined,"[955, 1145, 1355, 1895]",The |arrow |has a 75% chance of landing on |green.,29,,wheel_25-75_g-y,1,marble_100-0_g,Filler,"['AOI3', 'AOI3', 'AOI3', 'AOI4']",late,2.6679166666666667,2,1,marble_100-0_y,wheel_25-75_y-g,AOI1,2
num75,undefined,"[350, 539, 789, 1773]",The |marble |has a 75% chance of landing on |yellow.,11,,marble_25-75_g-y,2,wheel_100-0_g,Filler,"['AOI4', 'AOI4', 'AOI4', 'AOI2']",prag,2.6679166666666667,1,1,wheel_25-75_g-y,marble_100-0_g,AOI2,2
num100,undefined,"[227, 426, 1152, 1382]",The |marble |has a 100% chance of landing on |yellow.,6,,wheel_25-75_y-g,3,marble_25-75_y-g,Filler,"['AOI2', 'AOI2', 'AOI1', 'AOI1']",prag,2.6679166666666667,4,1,marble_100-0_y,wheel_100-0_y,AOI3,2
num75,undefined,"[194, 425, 1190, 1440]",The |arrow |has a 75% chance of landing on |green.,9,,wheel_100-0_b,1,marble_100-0_g,Filler,"['AOI1', 'AOI1', 'AOI3', 'AOI3']",prag,2.6679166666666667,2,1,marble_25-75_g-b,wheel_25-75_b-g,AOI1,2
num100,undefined,"[217, 716, 937, 1166]",The |arrow |has a 100% chance of landing on |yellow.,31,,wheel_100-0_y,2,marble_25-75_g-b,Filler,"['AOI3', 'AOI4', 'AOI4', 'AOI4']",late,2.6679166666666667,1,1,marble_25-75_y-b,wheel_100-0_b,AOI2,2
usually,undefined,"[1352, 1357, 1454, 1955]",The |marble |usually lands on |blue.,9,,wheel_100-0_b,4,marble_25-75_g-b,Exp,"['AOI2', 'AOI2', 'AOI2', 'AOI1']",prag,2.6679166666666667,3,1,marble_100-0_g,wheel_25-75_b-g,AOI4,2
num100,undefined,"[271, 653, 874, 1913]",The |marble |has a 100% chance of landing on |blue.,32,,wheel_25-75_g-b,3,marble_100-0_g,Filler,"['AOI1', 'AOI1', 'AOI1', 'AOI3']",late,2.6679166666666667,4,1,marble_100-0_b,wheel_25-75_b-g,AOI3,2
