workerid,proliferate.condition,ExpFiller,competitor,condition,correctAns,displayID,instruction1,instruction3,list,location1,location2,location3,location4,modal,response,response_times,target,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.gender,subject_information.language,subject_information.problems,subject_information.prolificID,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
7,condition1,prac,3,prac,AOI4,1,The |arrow |usually lands on |blue.,,,marble_25-75_g-b,marble_100-0_b,wheel_100-0_g,wheel_25-75_g-b,usually,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",,4,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,prac,4,prac,AOI3,2,The |marble |has a 25% chance of landing on |green.,,,wheel_100-0_g,wheel_25-75_y-g,marble_25-75_g-y,marble_100-0_g,num25,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",,3,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,prac,1,prac,AOI2,3,The |arrow |has a 100% chance of landing on |yellow.,,,wheel_100-0_b,wheel_100-0_y,marble_25-75_b-y,marble_25-75_y-b,num100,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",,2,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,prac,3,prac,AOI1,4,The |marble |never lands on |green.,,,marble_100-0_b,marble_25-75_b-g,wheel_100-0_g,wheel_25-75_b-g,never,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",,1,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,4,prag,AOI3,10,,The |arrow |usually lands on |green.,1,marble_100-0_g,marble_25-75_g-y,wheel_25-75_y-g,wheel_100-0_y,usually,"['AOI1', 'AOI1', 'AOI1', 'AOI1']","[1628, 2023, 2416, 2899]",3,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,4,late,AOI3,32,,The |marble |has a 100% chance of landing on |blue.,1,wheel_25-75_b-g,wheel_25-75_g-b,marble_100-0_b,marble_100-0_g,num100,"['AOI1', 'AOI3', 'AOI3', 'AOI3']","[493, 1203, 1631, 2137]",3,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,3,prag,AOI4,9,,The |marble |usually lands on |blue.,1,wheel_25-75_b-g,wheel_100-0_b,marble_100-0_g,marble_25-75_g-b,usually,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[427, 944, 1349, 1765]",4,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,1,prag,AOI2,8,,The |marble |usually lands on |yellow.,1,marble_100-0_b,marble_25-75_b-y,wheel_100-0_b,wheel_25-75_b-y,usually,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[405, 753, 1101, 1462]",2,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,4,late,AOI3,25,,The |arrow |has a 0% chance of landing on |yellow.,1,marble_25-75_g-y,marble_25-75_y-g,wheel_100-0_g,wheel_100-0_y,num0,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[436, 875, 1179, 1572]",3,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,2,prag,AOI1,1,,The |arrow |rarely lands on |yellow.,1,wheel_25-75_y-b,wheel_100-0_y,marble_100-0_b,marble_25-75_b-y,rarely,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[339, 654, 968, 1296]",1,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,1,late,AOI2,31,,The |arrow |has a 100% chance of landing on |yellow.,1,wheel_100-0_b,wheel_100-0_y,marble_25-75_y-b,marble_25-75_g-b,num100,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[359, 629, 944, 1236]",2,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,4,prag,AOI3,12,,The |arrow |always lands on |blue.,1,marble_25-75_y-b,marble_100-0_y,wheel_100-0_b,wheel_25-75_b-y,always,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[314, 595, 887, 1203]",3,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,3,prag,AOI4,11,,The |arrow |rarely lands on |green.,1,marble_100-0_g,marble_25-75_g-y,wheel_100-0_g,wheel_25-75_g-y,rarely,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[325, 595, 877, 1158]",4,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,3,late,AOI4,30,,The |marble |has a 75% chance of landing on |yellow.,1,wheel_100-0_b,wheel_100-0_y,marble_25-75_y-b,marble_25-75_b-y,num75,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[291, 921, 1247, 1596]",4,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,2,late,AOI1,29,,The |arrow |has a 75% chance of landing on |green.,1,wheel_25-75_y-g,wheel_25-75_g-y,marble_100-0_y,marble_100-0_g,num75,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[460, 910, 1259, 1562]",1,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,3,prag,AOI4,4,,The |arrow |never lands on |yellow.,1,marble_100-0_y,marble_25-75_y-g,wheel_25-75_g-y,wheel_100-0_g,never,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[281, 742, 1080, 1417]",4,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,3,prag,AOI4,2,,The |arrow |has a 100% chance of landing on |green.,1,marble_100-0_b,marble_25-75_b-g,wheel_25-75_g-b,wheel_100-0_g,num100,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[371, 775, 1101, 1438]",4,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,4,prag,AOI3,7,,The |arrow |never lands on |green.,1,marble_100-0_b,marble_25-75_b-g,wheel_100-0_b,wheel_25-75_b-g,never,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[347, 707, 1045, 1437]",3,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,1,prag,AOI2,1,,The |marble |never lands on |yellow.,1,marble_25-75_b-y,marble_100-0_b,wheel_100-0_y,wheel_25-75_y-b,never,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[294, 643, 1013, 1373]",2,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,2,late,AOI1,26,,The |marble |has a 0% chance of landing on |green.,1,marble_100-0_b,marble_100-0_g,wheel_25-75_b-g,wheel_25-75_g-b,num0,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[429, 721, 1104, 1509]",1,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,1,prag,AOI2,11,,The |marble |has a 75% chance of landing on |yellow.,1,marble_100-0_g,marble_25-75_g-y,wheel_25-75_g-y,wheel_100-0_g,num75,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[358, 671, 1067, 1539]",2,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,4,prag,AOI3,7,,The |marble |rarely lands on |blue.,1,wheel_100-0_b,wheel_25-75_b-g,marble_25-75_b-g,marble_100-0_b,rarely,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[426, 820, 1201, 1675]",3,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,3,prag,AOI4,8,,The |arrow |has a 25% chance of landing on |blue.,1,marble_25-75_b-y,marble_100-0_b,wheel_100-0_b,wheel_25-75_b-y,num25,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[414, 854, 1270, 1855]",4,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,2,prag,AOI1,2,,The |marble |has a 0% chance of landing on |green.,1,marble_100-0_b,marble_25-75_b-g,wheel_100-0_g,wheel_25-75_g-b,num0,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[313, 707, 1180, 1642]",1,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,1,late,AOI2,28,,The |marble |has a 25% chance of landing on |green.,1,marble_25-75_y-g,marble_25-75_g-y,wheel_100-0_g,wheel_100-0_y,num25,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[460, 922, 1270, 1585]",2,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,2,prag,AOI1,5,,The |marble |never lands on |blue.,1,marble_100-0_y,marble_25-75_y-b,wheel_100-0_y,wheel_25-75_y-b,never,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[438, 854, 1179, 1618]",1,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,2,prag,AOI1,9,,The |arrow |has a 75% chance of landing on |green.,1,wheel_25-75_b-g,wheel_100-0_b,marble_25-75_g-b,marble_100-0_g,num75,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[360, 732, 1170, 1643]",1,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,1,prag,AOI2,4,,The |marble |always lands on |yellow.,1,marble_25-75_y-g,marble_100-0_y,wheel_100-0_g,wheel_25-75_g-y,always,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[348, 685, 1046, 1405]",2,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,2,prag,AOI1,3,,The |arrow |usually lands on |blue.,1,wheel_25-75_g-b,wheel_100-0_g,marble_25-75_g-b,marble_100-0_g,usually,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[471, 810, 1113, 1473]",1,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,3,prag,AOI4,6,,The |marble |always lands on |yellow.,1,wheel_100-0_y,wheel_25-75_y-g,marble_25-75_y-g,marble_100-0_y,always,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[347, 708, 1057, 1483]",4,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,1,prag,AOI2,10,,The |marble |rarely lands on |green.,1,marble_100-0_g,marble_25-75_g-y,wheel_100-0_y,wheel_25-75_y-g,rarely,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[360, 742, 1148, 1464]",2,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Exp,2,prag,AOI1,3,,The |arrow |always lands on |green.,1,wheel_100-0_g,wheel_25-75_g-b,marble_100-0_g,marble_25-75_g-b,always,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[315, 1528, 1867, 2137]",1,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,4,prag,AOI3,12,,The |marble |has a 25% chance of landing on |yellow.,1,wheel_100-0_b,wheel_25-75_b-y,marble_25-75_y-b,marble_100-0_y,num25,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[348, 742, 1068, 1461]",3,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,3,late,AOI4,27,,The |arrow |has a 25% chance of landing on |blue.,1,marble_100-0_g,marble_100-0_b,wheel_25-75_g-b,wheel_25-75_b-g,num25,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[382, 742, 1058, 1439]",4,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,4,prag,AOI3,6,,The |marble |has a 100% chance of landing on |yellow.,1,wheel_100-0_y,wheel_25-75_y-g,marble_100-0_y,marble_25-75_y-g,num100,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[370, 675, 979, 1269]",3,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
7,condition1,Filler,1,prag,AOI2,5,,The |arrow |has a 0% chance of landing on |blue.,1,wheel_25-75_y-b,wheel_100-0_y,marble_100-0_y,marble_25-75_y-b,num0,"['AOI3', 'AOI3', 'AOI3', 'AOI3']","[270, 653, 980, 1338]",2,[],,Yes,,Male,,,,Chrome,Mac,900,1440,1.3258166666666666,
